R_um,f_t0min,f_t10min,f_t20min,f_t30min,f_t40min,f_t50min,f_t60min
1.000000000000000056e-01,1.940363223206606221e-11,5.320767159968235913e-11,4.330812896592816177e-11,3.128400683844013670e-11,2.219383272698667590e-11,1.948788471898807863e-11,1.999412256136344889e-11
1.499374217772215245e-01,2.194948501770846910e-11,7.378368743286290864e-11,6.005255032681311528e-11,4.337736677475246533e-11,3.077215653645469133e-11,2.701977763304705296e-11,2.772102895311690709e-11
1.998748435544430713e-01,2.481389160600796820e-11,1.542923569449684507e-10,1.255547245483921392e-10,9.067587477419758772e-11,6.431824234101240369e-11,5.647132859615019587e-11,5.793234183619884708e-11
2.498122653316645903e-01,2.803461984141720493e-11,2.628069796045411145e-10,2.138176362353966517e-10,1.543937989759958117e-10,1.095016046613343427e-10,9.613577450502745250e-11,9.861519466246817843e-11
2.997496871088861092e-01,3.165364349874151095e-11,3.997267698862160936e-10,3.251526512275753471e-10,2.347475934039036500e-10,1.664715421484463688e-10,1.461422477329528859e-10,1.498994823837110099e-10
3.496871088861076560e-01,3.571757679964359899e-11,5.655248827744997959e-10,4.599304751080258893e-10,3.319961896062844932e-10,2.354073185521165704e-10,2.066462383816527770e-10,2.119419931846341838e-10
3.996245306633291472e-01,4.027814978555731692e-11,7.607035376638117053e-10,6.185445286512734632e-10,4.464145180761919133e-10,3.164993730089365612e-10,2.778131287083067365e-10,2.849094980878437466e-10
4.495619524405506384e-01,4.539272793014397269e-11,9.857832027357684249e-10,8.014020456067241104e-10,5.782870569363680729e-10,4.099447395784874792e-10,3.598142069640531876e-10,3.689746440851399287e-10
4.994993742177722407e-01,5.112487960471395966e-11,1.241299420408982234e-09,1.008921384765733696e-09,7.279058688464898412e-10,5.159456508972121228e-10,4.528254791844873936e-10,4.643147170510396541e-10
5.494367959949937319e-01,5.754499525076024578e-11,1.527801853371334447e-09,1.241531143735489603e-09,8.955699384172377518e-10,6.347090643818305005e-10,5.570272931470610766e-10,5.711112369558452178e-10
5.993742177722152231e-01,6.473096236477058980e-11,1.845854106982402626e-09,1.499669898658991564e-09,1.081584960783967944e-09,7.664465084404433297e-10,6.726042455271192141e-10,6.895498426207601323e-10
6.493116395494367143e-01,7.276890066165596501e-11,2.196033866173810303e-09,1.783786193703040984e-09,1.286263309590411100e-09,9.113740559226720975e-10,7.997452031055371900e-10,8.198202924262665452e-10
6.992490613266583166e-01,8.175396205414723147e-11,2.578933177766356754e-09,2.094338642431182842e-09,1.509924084758512678e-09,1.069712354148659372e-09,9.386433761052287083e-10,9.621165173886433217e-10
7.491864831038798078e-01,9.179120036603253448e-11,2.995158809571542878e-09,2.431796084919239101e-09,1.752893199459193575e-09,1.241686682738645471e-09,1.089496418513620533e-09,1.116636700748926809e-09
7.991239048811012990e-01,1.029965159866214376e-10,3.445332656113666833e-09,2.796637775767380920e-09,2.015503488300999926e-09,1.427527026498979498e-09,1.252506544332662182e-09,1.283583372663644560e-09
8.490613266583229013e-01,1.154976809717593568e-10,3.930092176909510350e-09,3.189353591255210204e-09,2.298094828207851248e-09,1.627468157328013101e-09,1.427880654593743019e-09,1.463163514630540178e-09
8.989987484355443925e-01,1.294354504023071408e-10,4.450090860496460558e-09,3.610444249779469414e-09,2.601014267711679791e-09,1.841749722124711804e-09,1.615830472632764120e-09,1.655588671004290877e-09
9.489361702127658837e-01,1.449647661234194391e-10,5.005998710878872497e-09,4.060421542535211136e-09,2.924616162421890157e-09,2.070616335128810158e-09,1.816572686397378886e-09,1.861075066261915089e-09
9.988735919899874860e-01,1.622560593061513032e-10,5.598502754824174925e-09,4.539808572825353979e-09,3.269262315460673854e-09,2.314317673851778608e-09,2.030329097207372988e-09,2.079843727337838722e-09
1.048811013767209088e+00,1.814966585956889126e-10,6.228307569376714138e-09,5.049140003136117359e-09,3.635322122195497559e-09,2.573108578144658600e-09,2.257326774736748432e-09,2.312120610699399511e-09
1.098748435544430579e+00,2.028923109365381666e-10,6.896135829478108554e-09,5.588962309530406107e-09,4.023172718898235122e-09,2.847249152162703213e-09,2.497798218182258743e-09,2.558136734028647651e-09
1.148685857321652071e+00,2.266688224927000080e-10,7.602728875885074488e-09,6.159834043147933865e-09,4.433199135130250266e-09,3.137004869109718126e-09,2.751981523699998310e-09,2.818128312489626066e-09
1.198623279098873562e+00,2.530738274085258968e-10,8.348847303758657562e-09,6.762326098740922077e-09,4.865794449752694688e-09,3.442646678718914360e-09,3.020120558265760551e-09,3.092336899629362638e-09
1.248560700876095275e+00,2.823786924815661537e-10,9.135271572414592936e-09,7.397021990259712932e-09,5.321359950521974852e-09,3.764451117473119760e-09,3.302465140165089878e-09,3.381009533004857928e-09
1.298498122653316766e+00,3.148805661402228105e-10,9.962802636801035050e-09,8.064518133556535345e-09,5.800305297268156155e-09,4.102700421597594009e-09,3.599271226355799997e-09,3.684398884658263680e-09
1.348435544430538258e+00,3.509045804339011369e-10,1.083226260132281233e-08,8.765424136310661918e-09,6.303048688678384812e-09,4.457682642879587797e-09,3.910801106974808967e-09,4.002763416583825004e-09
1.398372966207759749e+00,3.908062150490632987e-10,1.174449539666972113e-08,9.500363095301714018e-09,6.830017032723343853e-09,4.829691767384398575e-09,4.237323607285949022e-09,4.336367541346666364e-09
1.448310387984981240e+00,4.349738326581849640e-10,1.270036748033518640e-08,1.026997190117409979e-08,7.381646120775609754e-09,5.219027837149743451e-09,4.579114297387797587e-09,4.685481788026892323e-09
1.498247809762202731e+00,4.838313951870111469e-10,1.370076856153407699e-08,1.107490155084725045e-08,7.958380805476287849e-09,5.625997074950719587e-09,4.936455710021862227e-09,5.050382973674248478e-09
1.548185231539424445e+00,5.378413708453374112e-10,1.474661235124662833e-08,1.191581746773479320e-08,8.560675182411650750e-09,6.050912012236793781e-09,5.309637566842330666e-09,5.431354380469155270e-09
1.598122653316645936e+00,5.975078420039679028e-10,1.583883733812974713e-08,1.279339982994234092e-08,9.188992775665457894e-09,6.494091620351177087e-09,5.698957013529625637e-09,5.828685938796098764e-09
1.648060075093867427e+00,6.633798242119210262e-10,1.697840759104913066e-08,1.370834390661853827e-08,9.843806727315578323e-09,6.955861445151424647e-09,6.104718864151429528e-09,6.242674416445208848e-09
1.697997496871088918e+00,7.360548068287718004e-10,1.816631358899491059e-08,1.466136040263797042e-08,1.052559999094587223e-08,7.436553745159152821e-09,6.527235855197026289e-09,6.673623614167708685e-09
1.747934918648310409e+00,8.161825258931717858e-10,1.940357307915086384e-08,1.565317581179761822e-08,1.123486552924597425e-08,7.936507633375839799e-09,6.966828909733839258e-09,7.121844567820874335e-09
1.797872340425531901e+00,9.044689799548892770e-10,2.069123196389240585e-08,1.668453277871111080e-08,1.197210651577317339e-08,8.456069222911321701e-09,7.423827412159082264e-09,7.587655757348381525e-09
1.847809762202753392e+00,1.001680699659655104e-09,2.203036521749164066e-08,1.775619046958674584e-08,1.273783654095169262e-08,8.995591776582234489e-09,7.898569494044617431e-09,8.071383322852300113e-09
1.897747183979975105e+00,1.108649281887912973e-09,2.342207783330824175e-08,1.886892495207678597e-08,1.353257982238556660e-08,9.555435860648389662e-09,8.391402331599508431e-09,8.573361288024018972e-09
1.947684605757196596e+00,1.226276199205185576e-09,2.486750580224362752e-08,2.002352958438643665e-08,1.435687141956209967e-08,1.013596950286752659e-08,8.902682455302455270e-09,9.093931791212463309e-09
1.997622027534418088e+00,1.355537895277033216e-09,2.636781712323136207e-08,2.122081541383121683e-08,1.521125745302350051e-08,1.073756835506164934e-08,9.432776072285486218e-09,9.633445324419874476e-09
2.047559449311639579e+00,1.497491176729875916e-09,2.792421284653006828e-08,2.246161158503160582e-08,1.609629532808462525e-08,1.136061586040258774e-08,9.982059402080710353e-09,1.019226098052755960e-08
2.097496871088861070e+00,1.653278911693912666e-09,2.953792815057504169e-08,2.374676575793299767e-08,1.701255396317508212e-08,1.200550342563969621e-08,1.055091902637429844e-08,1.077074670906679746e-08
2.147434292866082561e+00,1.824136044939530544e-09,3.121023345313159531e-08,2.507714453583842546e-08,1.796061402288407129e-08,1.267263059850977963e-08,1.113975225344544425e-08,1.136927958086348975e-08
2.197371714643304053e+00,2.011395939107801348e-09,3.294243555747691250e-08,2.645363390363931075e-08,1.894106815578645766e-08,1.336240525058764080e-08,1.174896749800363210e-08,1.198824606189915960e-08
2.247309136420525544e+00,2.216497051031934530e-09,3.473587883431609914e-08,2.787713967642784925e-08,1.995452123712799708e-08,1.407524376585605915e-08,1.237898467717483074e-08,1.262804229674541742e-08
2.297246558197747035e+00,2.440989951543416710e-09,3.659194644011453126e-08,2.934858795867154327e-08,2.100159061644790109e-08,1.481157123529614698e-08,1.303023562342621209e-08,1.328907440194445311e-08
2.347183979974968970e+00,2.686544696447074351e-09,3.851206157249881300e-08,3.086892561412681494e-08,2.208290637021590609e-08,1.557182165782338056e-08,1.370316451526020167e-08,1.397175876972427821e-08
2.397121401752190462e+00,2.954958555526821999e-09,4.049768876334555890e-08,3.243912074666459414e-08,2.319911155956057318e-08,1.635643814792159048e-08,1.439822832655153079e-08,1.467652238245405623e-08
2.447058823529411953e+00,3.248164105501750870e-09,4.255033521013814545e-08,3.406016319217587163e-08,2.435086249316476670e-08,1.716587315035645008e-08,1.511589729544622499e-08,1.540380313826297823e-08
2.496996245306633444e+00,3.568237691783578751e-09,4.467155214612705428e-08,3.573306502171882205e-08,2.553882899540298644e-08,1.800058866238242286e-08,1.585665541378853864e-08,1.615405018826437808e-08
2.546933667083854935e+00,3.917408262685082576e-09,4.686293624977895866e-08,3.745886105606289739e-08,2.676369467979401011e-08,1.886105646389290031e-08,1.662100093809137177e-08,1.692772428584660313e-08
2.596871088861076426e+00,4.298066578388781923e-09,4.912613109394309874e-08,3.923860939177728480e-08,2.802615722784094341e-08,1.974775835600252953e-08,1.740944692311730171e-08,1.772529814851261327e-08
2.646808510638297918e+00,4.712774795499717189e-09,5.146282863509925592e-08,4.107339193900225156e-08,2.932692867332877935e-08,2.066118640859418691e-08,1.822252177919144142e-08,1.854725683277203863e-08
2.696745932415519409e+00,5.164276426370004628e-09,5.387477074298057830e-08,4.296431497103224540e-08,3.066673569214776242e-08,2.160184321741059360e-08,1.906076985442360443e-08,1.939409812261207855e-08
2.746683354192740900e+00,5.655506670591065110e-09,5.636375077078521257e-08,4.491250968582804437e-08,3.204631989770838110e-08,2.257024217132389881e-08,1.992475204307600125e-08,2.026633293209783661e-08
2.796620775969962391e+00,6.189603114097135803e-09,5.893161516610301629e-08,4.691913277956334568e-08,3.346643814201125830e-08,2.356690773047456517e-08,2.081504642137396289e-08,2.116448572267777963e-08
2.846558197747183883e+00,6.769916789206964262e-09,6.158026512258654678e-08,4.898536703229669073e-08,3.492786282243235348e-08,2.459237571603551335e-08,2.173224891212055567e-08,2.208909493579687523e-08
2.896495619524405374e+00,7.400023586645739932e-09,6.431165827228933271e-08,5.111242190584508503e-08,3.643138219428060509e-08,2.564719361242926234e-08,2.267697397954240085e-08,2.304071344144810370e-08
2.946433041301626865e+00,8.083736008134241038e-09,6.712781041847767608e-08,5.330153415391816862e-08,3.797780068918131668e-08,2.673192088290441378e-08,2.364985535586220193e-08,2.401990900332280781e-08
2.996370463078848800e+00,8.825115245504760536e-09,7.003079730859393354e-08,5.555396844455330987e-08,3.956793923933490758e-08,2.784712929946590040e-08,2.465154680116459994e-08,2.502726476125159580e-08
3.046307884856070292e+00,9.628483569502906853e-09,7.302275644691072271e-08,5.787101799487172667e-08,4.120263560769586813e-08,2.899340328825025158e-08,2.568272289819523593e-08,2.606337973166114539e-08
3.096245306633291783e+00,1.049843700846117865e-08,7.610588894626363529e-08,6.025400521815353048e-08,4.288274472411215332e-08,3.017134029154508281e-08,2.674407988380860633e-08,2.712886932680699860e-08
3.146182728410513274e+00,1.143985829388541609e-08,7.928246141808550965e-08,6.270428238320464779e-08,4.460913902746003450e-08,3.138155114777167574e-08,2.783633651885808509e-08,2.822436589358003056e-08
3.196120150187734765e+00,1.245793004668229088e-08,8.255480789978724621e-08,6.522323228596303027e-08,4.638270881380289717e-08,3.262466049088174520e-08,2.896023499840144175e-08,2.935051927272356035e-08
3.246057571964956256e+00,1.355814817427780040e-08,8.592533181833779349e-08,6.781226893326078687e-08,4.820436259059725186e-08,3.390130717076789933e-08,3.011654190417694000e-08,3.050799737933979450e-08
3.295994993742177748e+00,1.474633544523935758e-08,8.939650798868744326e-08,7.047283823863068111e-08,5.007502743696136348e-08,3.521214469645000159e-08,3.130604920138888755e-08,3.169748680560901797e-08
